Code,Title,Credits,Prereqs,Day,Begin,End,Division,Term,Professor
WRTG 105-41,"Man, Machine, and Morality",4.0,,MW,1150 AM,105 PM,WRTG,Spring,James Otis
WRTG 105-42,Impacts of Engineering,4.0,,MW,200 PM,315 PM,WRTG,Spring,Lisabeth Tinelli
WRTG 105-43,Venturing Out: Making Meaning and Finding Adventure in the Outdoors,4.0,,MW,200 PM,315 PM,WRTG,Spring,Justin Coyne
WRTG 105-44,Comics and Culture,4.0,,TR,1105 AM,1220 PM,WRTG,Spring,Karl Mohn
WRTG 105-45,Comics and Culture,4.0,,TR,200 PM,315 PM,WRTG,Spring,Karl Mohn
WRTG 105-46,“Getting Back” to Nature: The Relationship between Humans and the Natural World,4.0,,TR,1230 PM,145 PM,WRTG,Spring,Ashley Conklin
WRTG 105-47,Let's Do the Time Warp Again,4.0,,MW,200 PM,315 PM,WRTG,Spring,Emily Lowman
WRTG 105-48,Uncertainty,4.0,,TR,940 AM,1055 AM,WRTG,Spring,Kathryn Phillips
WRTG 105-49,Problems in Authority and Expertise,4.0,,MW,615 PM,730 PM,WRTG,Spring,Rob Rich
WRTG 105-50,“Getting Back” to Nature: The Relationship between Humans and the Natural World,4.0,,TR,940 AM,1055 AM,WRTG,Spring,Ashley Conklin
WRTG 105-51,The Values and Ethics of Language,4.0,,TR,200 PM,315 PM,WRTG,Spring,Zachary Barber
WRTG 105-52,The Role of Aesthetics in Sympathy,4.0,,MW,1230 PM,145 PM,WRTG,Spring,Yash Chitrakar
WRTG 105-53,Attention ‘Matters’,4.0,,MW,1150 AM,105 PM,WRTG,Spring,Debarati Choudhury
CSC 131-1,Recreational Graphics,4.0,,TR,1105 AM,1220 PM,NSE,Fall,Thaddeus Pawlicki
CSC 161-1,Introduction to Programming,4.0,,TR,1105 AM,1220 PM,NSE,Fall,Monika Polak
CSC 170-1,Introduction to Web Development,4.0,,TR,1105 AM,1220 PM,NSE,Fall,Eustrat Zhupa
CSC 171-1,Introduction to Computer Science,4.0,,MW,1025 AM,1140 AM,NSE,Fall,Adam Purtee
CSC 172-1,Data Structures & Algorithms,4.0,"CSC 171, MATH 150",TR,940 AM,1055 AM,NSE,Fall,Thaddeus Pawlicki
CSC 173-1,Computation & Formal Systems,4.0,"CSC 171, MATH 150",MW,200 PM,315 PM,NSE,Fall,George Ferguson
CSC 212-1,Human Computer Interaction,4.0,"CSC 172, CSC 242",TR,1105 AM,1220 PM,NSE,Fall,Yukang Yan
CSC 214-1,Mobile App Development,4.0,CSC 172,TR,615 PM,730 PM,NSE,Fall,Arthur Roolfs
CSC 216-01,AR/VR Design,4.0,"CSC 214, CSC 172",TR,940 AM,1055 AM,NSE,Fall,Zhen Bai
CSC 240-1,Data Mining,4.0,"CSC 171, CSC 172, MATH 161",TR,325 PM,440 PM,NSE,Fall,Cantay Caliskan
CSC 242-1,Introduction to Artificial Intelligence,4.0,"CSC 172, MTH 150",TR,325 PM,440 PM,NSE,Fall,Thaddeus Pawlicki
CSC 245-01,Deep Learning,4.0,"CSC 164, CSC 165, CSC 172",TR,940 AM,1055 AM,NSE,Fall,Chenliang Xu
CSC 246-1,Machine Learning,4.0,"MATH 161, MATH 162, MATH 165",TR,1105 AM,1220 PM,NSE,Fall,Adam Purtee
CSC 252-01,Computer Organization,4.0,"MATH 150, CSC 172",MW,325 PM,440 PM,NSE,Fall,Yanan Guo
CSC 253-01,Collaborative Programming and Software Design,4.0,"CSC 172, CSC 252",MW,325 PM,440 PM,NSE,Fall,Chen Ding
CSC 254-1,Programming Language Design & Implementation,4.0,"CSC 173, CSC 252",MW,1025 AM,1140 AM,NSE,Fall,George Ferguson
CSC 256-1,Operating Systems,4.0,CSC 252,TR,200 PM,315 PM,NSE,Fall,John Criswell
CSC 257-1,Computer Networks,4.0,CSC 252,MW,450 PM,605 PM,NSE,Fall,Andrew Read-McFarland
CSC 259-1,Computer Imaging & Graphics,4.0,,WF,1150 AM,105 PM,NSE,Fall,Yuhao Zhu
CSC 261-1,Database Systems,4.0,CSC 172,MW,1230 PM,145 PM,NSE,Fall,Eustrat Zhupa
CSC 273W-1,Writing for Computer Science,2.0,,R,200 PM,315 PM,NSE,Fall,Joseph Loporcaro
CSC 273W-2,Writing for Computer Science,2.0,,T,450 PM,605 PM,NSE,Fall,Joseph Loporcaro
CSC 277-01,End-To-End Deep Learning,4.0,CSC 242,TR,325 PM,440 PM,NSE,Fall,Christopher Kanan
CSC 279-1,Computational Geometry,4.0,CSC 172,MW,900 AM,1015 AM,NSE,Fall,Daniel Stefankovic
CSC 280-01,Computer Models &Limitations,4.0,,MW,200 PM,315 PM,NSE,Fall,Kaave Hosseini
CSC 281-1,Intro to Cryptography,4.0,"CSC 280, MATH 150",MW,900 AM,1015 AM,NSE,Fall,Andrew Read-McFarland
CSC 282-01,Design & Analysis of Efficient Algorithms,4.0,"CSC 172, MATH 150",TR,1105 AM,1220 PM,NSE,Fall,Daniel Stefankovic
CSC 284-1,Advanced Algorithms,4.0,,MW,450 PM,605 PM,NSE,Fall,Kaave Hosseini
CSC 290-1,Topics in Systems: Machine Learning Systems,4.0,CSC 252,MW,900 AM,1015 AM,NSE,Fall,Sreepathi Pai
CSC 299W-1,Social Implications of Computing,4.0,,MW,325 PM,440 PM,NSE,Fall,Joseph Loporcaro
CSC 412-1,Human Computer Interaction,4.0,,TR,1105 AM,1220 PM,NSE,Fall,Yukang Yan
CSC 413-01,Introduction to Augmented and Virtual Reality,4.0,,MW,200 PM,315 PM,NSE,Fall,Mujdat Cetin
CSC 416-01,AR/VR Interaction Design,4.0,"CSC 172, CSC 214",TR,940 AM,1055 AM,NSE,Fall,Zhen Bai
CSC 435-1,Optimization for Machine Learning,4.0,,TR,940 AM,1055 AM,NSE,Fall,Jiaming Liang
CSC 440-01,Data Mining,4.0,,TR,200 PM,315 PM,NSE,Fall,Monika Polak
CSC 441-01,Intro to Computational Neuroscience,4.0,,TR,1230 PM,145 PM,NSE,Fall,Ralf Haefner
CSC 442-1,Artificial Intelligence,4.0,,TR,1105 AM,1220 PM,NSE,Fall,Jian Kang
CSC 445-01,Deep Learning,4.0,"CSC 172, MATH 164, MATH 165",TR,940 AM,1055 AM,NSE,Fall,Chenliang Xu
CSC 452-01,Computer Organization,4.0,"MATH 150, CSC 172",MW,325 PM,440 PM,NSE,Fall,Yanan Guo
CSC 453-01,Collaborative Programming and Software Design,4.0,"CSC 172, CSC 252",MW,325 PM,440 PM,NSE,Fall,Chen Ding
CSC 454-01,Prog Language Design & Imp.,4.0,,MW,1025 AM,1140 AM,NSE,Fall,George Ferguson
CSC 456-1,Operating Systems,4.0,,TR,200 PM,315 PM,NSE,Fall,John Criswell
CSC 457-1,Computer Networks,4.0,,MW,450 PM,605 PM,NSE,Fall,Andrew Read-McFarland
CSC 459-1,Computer Imaging & Graphics,4.0,,WF,1150 AM,105 PM,NSE,Fall,Yuhao Zhu
CSC 461-1,Database Systems,4.0,,MW,1230 PM,145 PM,NSE,Fall,Eustrat Zhupa
CSC 462-1,Computational Introduction to Statistics,4.0,"MATH 150, MATH 161",TR,450 PM,605 PM,NSE,Fall,Anson Kahng
CSC 474-1,Quantum Information Processing,4.0,MATH 165,MW,450 PM,605 PM,NSE,Fall,Gaurav Sharma
CSC 477-01,End-To-End Deep Learning,4.0,CSC 242,TR,325 PM,440 PM,NSE,Fall,Christopher Kanan
CSC 479-1,Computational Geometry,4.0,CSC 172,MW,900 AM,1015 AM,NSE,Fall,Daniel Stefankovic
CSC 480-01,Computer Models & Limitations,4.0,"CSC 173, MATH 150",MW,200 PM,315 PM,NSE,Fall,Kaave Hosseini
CSC 481-1,Intro to Cryptography,4.0,"CSC 280, MATH 150",MW,900 AM,1015 AM,NSE,Fall,Andrew Read-McFarland
CSC 482-01,Design & Analysis of Efficient Algorithms,4.0,"CSC 172, MATH 150",TR,1105 AM,1220 PM,NSE,Fall,Daniel Stefankovic
CSC 484-1,Advanced Algorithms,4.0,CSC 482,MW,450 PM,605 PM,NSE,Fall,Kaave Hosseini
CSC 511-01,Large Language Models,4.0,"CSC 247, CSC 245, CSC 266, CSC 277, CSC 246",MW,900 AM,1015 AM,NSE,Fall,Hangfeng He
CSC 571-01,Topics in Systems: Machine Learning Systems,4.0,,MW,900 AM,1015 AM,NSE,Fall,Sreepathi Pai
CSC 161-1,Introduction to Programming,4.0,,TR,450 PM,605 PM,NSE,Spring,Andrew Read-McFarland
CSC 170-1,Introduction to Web Development,4.0,,TR,1105 AM,1220 PM,NSE,Spring,Eustrat Zhupa
CSC 171-1,Introduction to Computer Science,4.0,,TR,200 PM,315 PM,NSE,Spring,Adam Purtee
CSC 172-1,Data Structures & Algorithms,4.0,"CSC 171, MATH 150",TR,1105 AM,1220 PM,NSE,Spring,Monika Polak
CSC 173-1,Computation & Formal Systems,4.0,"CSC 171, MATH 150",TR,200 PM,315 PM,NSE,Spring,George Ferguson
CSC 186-1,Video Game Development,4.0,,TR,1105 AM,1220 PM,NSE,Spring,Thaddeus Pawlicki
CSC 200-1,Undergraduate Problem Seminar,4.0,"CSC 171, MATH 150, CSC 172, CSC 173",MW,450 PM,605 PM,NSE,Spring,Fatemeh Nargesian
CSC 200H-1,Honors Undergraduate Problem Seminar,4.0,"CSC 171, MATH 150, CSC 172, CSC 173",MW,450 PM,605 PM,NSE,Spring,Fatemeh Nargesian
CSC 210-1,Web Programming,4.0,CSC 172,MW,200 PM,315 PM,NSE,Spring,Andrew Read-McFarland
CSC 211-01,Introduction to HCI,4.0,CSC 172,TR,1230 PM,145 PM,NSE,Spring,Zhen Bai
CSC 214-1,Mobile App Development,4.0,CSC 172,TR,615 PM,730 PM,NSE,Spring,Arthur Roolfs
CSC 229-01,Computer Models of Perception & Cognition,4.0,"MATH 161, MATH 162, CSC 161",TR,1105 AM,1220 PM,NSE,Spring,Robert Jacobs
CSC 240-1,Data Mining,4.0,"CSC 171, CSC 172, MATH 161",TR,450 PM,605 PM,NSE,Spring,Jian Kang
CSC 242-1,Introduction to Artificial Intelligence,4.0,"CSC 172, MTH 150",TR,940 AM,1055 AM,NSE,Spring,Yukang Yan
CSC 246-1,Machine Learning,4.0,"MATH 161, MATH 162, MATH 165",TR,1105 AM,1220 PM,NSE,Spring,Adam Purtee
CSC 247-01,Natural Language Processing,4.0,"CSC 172, CSC 242",MW,1025 AM,1140 AM,NSE,Spring,Hangfeng He
CSC 249-1,Machine Vision,4.0,"MATH 161, CSC 242",TR,940 AM,1055 AM,NSE,Spring,Chenliang Xu
CSC 251-1,Advanced Computer Architecture,4.0,"MATH 150, CSC 172",TR,200 PM,315 PM,NSE,Spring,Michael Huang
CSC 252-1,Computer Organization,4.0,,WF,325 PM,440 PM,NSE,Spring,Yuhao Zhu
CSC 254-1,Programming Language Design & Implementation,4.0,"CSC 173, CSC 252",TR,325 PM,440 PM,NSE,Spring,Michael Scott
CSC 255-1,Software Analysis & Improv,4.0,CSC 252,MW,1025 AM,1140 AM,NSE,Spring,Sreepathi Pai
CSC 258-1,Parallel & Distributed Systems,4.0,,MW,325 PM,440 PM,NSE,Spring,Andrew Read-McFarland
CSC 261-1,Database Systems,4.0,CSC 172,MW,1025 AM,1140 AM,NSE,Spring,Eustrat Zhupa
CSC 263-1,Data Management Systems,4.0,"CSC 173, CSC 252",MW,900 AM,1015 AM,NSE,Spring,Fatemeh Nargesian
CSC 273W-1,Writing for Computer Science,2.0,,T,450 PM,605 PM,NSE,Spring,Joseph Loporcaro
CSC 273W-2,Writing for Computer Science,2.0,,R,200 PM,315 PM,NSE,Spring,Joseph Loporcaro
CSC 278-1,Computer Security Foundations,4.0,CSC 252,MW,615 PM,730 PM,NSE,Spring,John Criswell
CSC 280-1,Computer Models & Limitations,4.0,"CSC 173, MATH 150",MW,200 PM,315 PM,NSE,Spring,Monika Polak
CSC 282-1,Design & Analysis Efficient Algorithms,4.0,"CSC 172, MATH 150",TR,940 AM,1055 AM,NSE,Spring,Eustrat Zhupa
CSC 283-1,Topics in Cryptography,4.0,CSC 281,MW,900 AM,1015 AM,NSE,Spring,Monika Polak
CSC 285-01,Gems of Algorithms and Elections,4.0,,MW,450 PM,605 PM,NSE,Spring,Lane Hemaspaandra
CSC 286-1,Computational Complexity,4.0,CSC 280,MW,200 PM,315 PM,NSE,Spring,Lane Hemaspaandra
CSC 294-01,Nonlinear Optimization,4.0,"MATH 164, MATH 165",TR,200 PM,315 PM,NSE,Spring,Jiaming Liang
CSC 295-1,Quantum Computing,4.0,"CSC 161, CSC 171",TR,1230 PM,145 PM,NSE,Spring,Thaddeus Pawlicki
CSC 297-01,Great Ideas in Computer Science,4.0,CSC 286,TR,940 AM,1055 AM,NSE,Spring,George Ferguson
CSC 299W-1,Social Implications of Computing - W,4.0,,MW,325 PM,440 PM,NSE,Spring,Joseph Loporcaro
CSC 402-1,Network Science Analysis,4.0,"MATH 164, MATH 165",MW,325 PM,440 PM,NSE,Spring,Gonzalo Mateos Buckstein
CSC 410-01,Optimization Seminar,4.0,,TR,940 AM,1055 AM,NSE,Spring,Daniel Gildea
CSC 440-1,Data Mining,4.0,,TR,450 PM,605 PM,NSE,Spring,Jian Kang
CSC 446-1,Machine Learning,4.0,,TR,1105 AM,1220 PM,NSE,Spring,Daniel Gildea
CSC 447-01,Natural Language Processing,4.0,"CSC 172, CSC 242",MW,1025 AM,1140 AM,NSE,Spring,Hangfeng He
CSC 449-1,Machine Vision,4.0,"MATH 161, CSC 242",TR,940 AM,1055 AM,NSE,Spring,Chenliang Xu
CSC 451-1,Advncd Computer Architecture,4.0,,TR,200 PM,315 PM,NSE,Spring,Michael Huang
CSC 452-1,Computer Organization,4.0,,WF,325 PM,440 PM,NSE,Spring,Yuhao Zhu
CSC 454-1,Programming Language Design & Implementation,4.0,,TR,325 PM,440 PM,NSE,Spring,Michael Scott
CSC 455-1,Software Analysis & Improv,4.0,,MW,1025 AM,1140 AM,NSE,Spring,Sreepathi Pai
CSC 458-1,Parallel & Distributed Systems,4.0,,MW,325 PM,440 PM,NSE,Spring,Andrew Read-McFarland
CSC 461-1,Database Systems,4.0,,MW,1025 AM,1140 AM,NSE,Spring,Eustrat Zhupa
CSC 463-1,Data Management Systems,4.0,,MW,900 AM,1015 AM,NSE,Spring,Fatemeh Nargesian
CSC 478-1,Computer Security Foundations,4.0,CSC 252,MW,615 PM,730 PM,NSE,Spring,John Criswell
CSC 480-1,Computer Models & Limitations,4.0,"CSC 173, MATH 150",MW,200 PM,315 PM,NSE,Spring,Monika Polak
CSC 482-1,Design & Analysis Efficient Algorithms,4.0,"CSC 172, MATH 150",TR,940 AM,1055 AM,NSE,Spring,Eustrat Zhupa
CSC 483-1,Topics in Cryptography,4.0,,MW,900 AM,1015 AM,NSE,Spring,Monika Polak
CSC 485-01,Gems of Algorithms and Elections,4.0,,MW,450 PM,605 PM,NSE,Spring,Lane Hemaspaandra
CSC 486-1,Computational Complexity,4.0,,MW,200 PM,315 PM,NSE,Spring,Lane Hemaspaandra
CSC 579-02,Logic Foundation and Machine-checked Proofs,2.0,,R,940 AM,1055 AM,NSE,Spring,Chen Ding
CSC 597-1,Computer Science Colloquium,4.0,,M,1150 AM,105 PM,NSE,Spring,Anson Kahng
ECON 108-1,Principles of Economics,4.0,,MWF,900 AM,950 AM,SOC,Fall,Michael Rizzo
ECON 108-2,Principles of Economics,4.0,,MWF,1025 AM,1115 AM,SOC,Fall,Michael Rizzo
ECON 207-01,Intermediate Microeconomics,4.0,ECON 108,TR,325 PM,440 PM,SOC,Fall,Daria Bottan
ECON 207-02,Intermediate Microeconomics,4.0,ECON 108,TR,200 PM,315 PM,SOC,Fall,Daria Bottan
ECON 207-09,Intermediate Microeconomics,4.0,ECON 108,MW,1025 AM,1140 AM,SOC,Fall,Mark Bils
ECON 208W-01,Topics in Microecon Theory,4.0,ECON 208,MW,325 PM,440 PM,SOC,Fall,Steven Landsburg
ECON 209-01,Intermediate Macroeconomics,4.0,ECON 108,MW,1025 AM,1140 AM,SOC,Fall,Hamid Firooz
ECON 209-02,Intermediate Macroeconomics,4.0,ECON 108,MW,900 AM,1015 AM,SOC,Fall,Hamid Firooz
ECON 209-05,Intermediate Macroeconomics,4.0,ECON 108,TR,940 AM,1055 AM,SOC,Fall,Christopher Sleet
ECON 214-01,Economic Theory of Organizations,4.0,ECON 207,MW,900 AM,1015 AM,SOC,Fall,Gerard Wedig
ECON 214-02,Econ Theory of Organizations,4.0,ECON 207,MW,1230 PM,145 PM,SOC,Fall,Gerard Wedig
ECON 214W-01,Econ Theory of Organizations,4.0,ECON 214,MW,900 AM,1015 AM,SOC,Fall,Gerard Wedig
ECON 214W-02,Econ Theory of Organizations,4.0,ECON 214,MW,1230 PM,145 PM,SOC,Fall,Gerard Wedig
ECON 220W-1,Fair Allocation,4.0,,TR,1230 PM,145 PM,SOC,Fall,William Thomson
ECON 223-01,Labor Markets,4.0,,MW,1230 PM,145 PM,SOC,Fall,Sadhika Bagga
ECON 223W-01,Labor Economics,4.0,,MW,1230 PM,145 PM,SOC,Fall,Sadhika Bagga
ECON 230-01,Economic Statistics,4.0,,TR,1105 AM,1220 PM,SOC,Fall,Nese Yildiz
ECON 231W-1,Econometrics,4.0,"MATH 161, ECON 207",MW,1150 AM,105 PM,SOC,Fall,Ronni Pavan
ECON 231W-2,Econometrics,4.0,"MATH 161, ECON 207",MW,200 PM,315 PM,SOC,Fall,Ronni Pavan
ECON 238-1,Environmental Economics,4.0,ECON 108,TR,1105 AM,1220 PM,SOC,Fall,Michael Rizzo
ECON 238W-1,Environmental Economics,4.0,ECON 238,TR,1105 AM,1220 PM,SOC,Fall,Michael Rizzo
ECON 270-1,International Macroeconomics,4.0,ECON 207,MW,200 PM,315 PM,SOC,Fall,Luis Rafael Guntin Wernik
ECON 270W-1,International Macroeconomics,4.0,ECON 270,MW,200 PM,315 PM,SOC,Fall,Luis Rafael Guntin Wernik
ECON 271-1,Behavioral Economics,4.0,ECON 207,TR,200 PM,315 PM,SOC,Fall,Asen Kochov
ECON 271W-1,Behavioral Economics,4.0,ECON 271,TR,200 PM,315 PM,SOC,Fall,Asen Kochov
ECON 288-1,Game Theory,4.0,,TR,940 AM,1055 AM,SOC,Fall,Paulo Barelli
ECON 288W-1,Game Theory,4.0,,TR,940 AM,1055 AM,SOC,Fall,Paulo Barelli
ECON 471-01,Modern Value Theory I,4.0,,TR,1105 AM,1220 PM,SOC,Fall,Asen Kochov; Paulo Barelli
ECON 481-1,Intro to Math Economics,4.0,,MW,145 PM,300 PM,SOC,Fall,Srihari Govindan
ECON 484-01,Math Stats/Econometrics,4.0,,MW,1030 AM,1145 AM,SOC,Fall,Nese Yildiz
ECON 501-3,Labor Economics,4.0,,F,130 PM,430 PM,SOC,Fall,Lisa Kahn
ECON 507-1,Theory Workshop I,5.0,,W,330 PM,500 PM,SOC,Fall,Paulo Barelli
ECON 511-01,International Trade I,2.0,,W,515 PM,800 PM,SOC,Fall,Luis Rafael Guntin Wernik
ECON 512-1,International Trade II,2.0,,R,515 PM,800 PM,SOC,Fall,Gaston Chaumont
ECON 518-01,Econometrics II,4.0,,WF,1150 AM,105 PM,SOC,Fall,Yukun Ma
